#{"t_start": 1708444886.0143042, "env_id": "AdversarialAgent-v0"}
r,l,t
0.141607,1,0.225729
0.101073,1,0.491553
0.072556,1,0.730121
0.105573,1,0.909134
0.094908,1,1.025683
0.122872,1,1.13042
0.059627,1,1.250748
0.068963,1,1.402959
0.059465,1,1.604778
0.05909,1,1.811831
0.086088,1,1.995502
0.076656,1,2.179209
0.032432,1,2.406765
0.084654,1,2.538928
0.113242,1,2.657307
0.049042,1,2.799782
0.050075,1,2.945087
0.088843,1,3.054193
0.060742,1,3.192967
0.055711,1,3.316756
0.056529,1,6.507225
0.024582,1,6.680068
0.045289,1,6.783714
0.041842,1,6.905642
0.018979,1,7.109001
0.017906,1,7.331676
0.02898,1,7.467498
0.035564,1,7.597193
0.045713,1,7.707115
0.039781,1,7.811445
0.01919,1,7.963343
0.02811,1,8.101653
0.023418,1,8.247373
0.019027,1,8.421496
0.066081,1,8.507583
0.03814,1,8.636015
0.026977,1,8.7732
0.033773,1,8.900227
0.02777,1,9.039686
0.023227,1,9.214291
0.116414,1,12.353752
0.069408,1,12.474707
0.156891,1,12.557193
0.13943,1,12.668822
0.117131,1,12.775782
0.100694,1,12.889818
0.20385,1,12.976826
0.11283,1,13.075517
0.127853,1,13.1742
0.074439,1,13.310527
0.225057,1,13.385516
0.094067,1,13.479232
0.126033,1,13.579086
0.077133,1,13.698411
0.18958,1,13.780984
0.149499,1,13.8694
0.17343,1,13.957299
0.071597,1,14.086308
0.149427,1,14.176022
0.098381,1,14.276832
0.081412,1,17.514971
0.040202,1,17.630407
0.025357,1,17.770499
0.036654,1,17.909867
0.033637,1,18.08147
0.02777,1,18.259551
0.03844,1,18.407079
0.016885,1,18.592129
0.026003,1,18.752975
0.026106,1,18.983473
0.068479,1,19.141979
0.053432,1,19.29554
0.04313,1,19.454324
0.025134,1,19.753559
0.02926,1,19.926457
0.049182,1,20.039551
0.074591,1,20.128436
0.067932,1,20.221614
0.038679,1,20.357875
0.068185,1,20.488508
0.018932,1,23.865789
0.015533,1,24.106644
0.019007,1,24.314968
0.028528,1,24.465412
0.016097,1,24.652186
0.02683,1,24.807375
0.035469,1,24.950469
0.049605,1,25.057287
0.027572,1,25.211378
0.015008,1,25.439342
0.027753,1,25.590525
0.034652,1,25.754613
0.038184,1,25.893666
0.02434,1,26.051894
0.0246,1,26.203896
0.02606,1,26.342061
0.03024,1,26.487901
0.024608,1,26.630668
0.015105,1,26.832717
0.018209,1,27.002019
0.057717,1,30.116488
0.089626,1,30.247352
0.044604,1,30.385197
0.055571,1,30.510605
0.081066,1,30.613538
0.075635,1,30.744145
0.404345,1,30.827273
0.23532,1,30.922128
0.394198,1,31.018399
0.084815,1,31.127475
0.617697,1,31.234032
0.33348,1,31.332169
0.111453,1,31.422753
0.138962,1,31.527977
0.122745,1,31.619291
0.56796,1,31.721041
0.052169,1,31.839707
0.131819,1,31.93668
0.1165,1,32.029362
0.084724,1,32.135434
-1.447576,1,35.354968
1.45868,1,35.43595
0.569219,1,35.523518
-0.206714,1,35.622128
-0.272048,1,35.719298
1.158347,1,35.818398
14.105399,1,35.908178
-0.616474,1,36.00143
2.541279,1,36.097511
-0.703024,1,36.192337
2.410851,1,36.271438
0.912951,1,36.354457
18.320075,1,36.445937
-8.043261,1,36.531869
1.583486,1,36.610843
1.638757,1,36.702357
44.940811,1,36.777569
5.478594,1,36.852818
-1.187592,1,36.938178
9.260688,1,37.026685
-0.715938,1,41.234346
1.196279,1,41.310205
-4.117229,1,41.387876
-8.008142,1,41.475805
-2.523847,1,41.555217
-0.867423,1,41.638389
-1.059965,1,41.721493
-3.338355,1,41.808038
1.369275,1,41.891815
-0.89112,1,41.983022
-1.404156,1,42.062376
-1.274269,1,42.1509
-0.464045,1,42.243596
-0.536802,1,42.3377
-0.543035,1,42.415923
17.747362,1,42.487283
0.957641,1,42.559769
0.974791,1,42.640815
-0.891074,1,42.722075
-0.240445,1,42.811313
76.747065,1,46.654582
-0.572113,1,46.720587
-0.333692,1,46.788279
-0.323979,1,46.860494
-0.373576,1,46.929446
-0.354763,1,46.999889
-0.51167,1,47.070663
-0.322136,1,47.143427
-0.340461,1,47.210776
-0.354072,1,47.278806
-0.395447,1,47.347248
-0.459678,1,47.413468
-0.336047,1,47.481727
-0.421036,1,47.552978
-0.394943,1,47.616744
-0.448244,1,47.679725
-0.497364,1,47.74297
-0.336761,1,47.8077
-0.351874,1,47.871393
-0.374234,1,47.939881
2.802375,1,51.550478
-12.428633,1,51.600149
-2.012797,1,51.655678
-3.244345,1,51.705851
0.717767,1,51.756478
1.29941,1,51.806199
-2.437301,1,51.856074
0.727824,1,51.905169
-1.193654,1,51.953314
2.216958,1,52.005765
-34.974848,1,52.061277
0.724922,1,52.112393
0.601092,1,52.162708
-1.892939,1,52.212689
-4.776632,1,52.266318
-22.472236,1,52.315961
1.686651,1,52.364296
-37.610702,1,52.412123
3.024392,1,52.459697
0.601752,1,52.506959
1.758347,1,56.222497
-3.820677,1,56.303574
-0.502162,1,56.390673
-0.665423,1,56.477169
1.629166,1,56.568806
-1.275907,1,56.648689
-16.425865,1,56.743085
1.08161,1,56.822189
-0.342069,1,56.911
2.572751,1,56.991286
4.182068,1,57.089669
-0.714019,1,57.174732
-17.853719,1,57.256069
1.927925,1,57.337851
-54.356655,1,57.424126
1.257955,1,57.499077
-0.47086,1,57.594087
-14.146868,1,57.681936
-0.386223,1,57.761758
-0.591198,1,57.845906
