#{"t_start": 1708876726.619217, "env_id": "CustomHopper-target-v0"}
r,l,t
79.601462,52,29.844765
81.323739,53,29.909122
81.522195,53,29.959724
82.970054,54,30.006047
83.573259,54,30.072433
83.409803,54,30.141768
81.610846,53,30.213479
81.82103,53,30.283589
81.54008,53,30.353084
83.126752,54,30.42744
83.647912,54,30.49289
84.888623,55,30.581199
82.014873,53,30.649749
83.548775,54,30.731936
79.907806,52,30.79789
81.48149,53,30.879235
83.271943,54,30.946245
79.814535,52,31.017739
79.796177,52,31.068528
81.515842,53,31.115996
82.967096,54,31.169502
83.108122,54,31.216663
85.010474,55,31.26944
81.641411,53,31.341679
83.472534,54,31.392427
78.255928,51,31.436778
82.850477,54,31.487408
85.132162,55,31.534685
83.200315,54,31.588569
83.29191,54,31.681953
81.610207,53,31.758094
83.37781,54,31.80629
79.877468,52,31.854661
83.320313,54,31.901644
82.918545,54,31.948523
82.95054,54,31.995298
81.544035,53,32.041215
84.807671,55,32.096359
83.42259,54,32.161254
83.4316,54,32.23899
81.569169,53,32.297727
79.850815,52,32.355004
80.242534,52,32.439439
83.095105,54,32.535866
83.236955,54,32.620722
81.619353,53,32.702701
82.963513,54,32.787724
79.711168,52,32.851451
81.76256,53,32.91566
84.863689,55,32.982374
