#{"t_start": 1708870919.1591084, "env_id": "CustomHopper-source-v0"}
r,l,t
73.983617,45,0.028315
74.05467,45,0.053745
74.302457,45,0.077683
72.373766,44,0.101044
74.195731,45,0.125337
72.505879,44,0.149593
74.515925,45,0.173826
74.213707,45,0.198172
74.474006,45,0.223807
76.253726,46,0.251042
74.191464,45,0.278151
72.381003,44,0.304301
74.35716,45,0.331199
74.393655,45,0.358606
74.345918,45,0.385934
74.271324,45,0.412864
74.230963,45,0.439671
72.506089,44,0.466135
74.163659,45,0.496155
72.320347,44,0.535877
74.326136,45,0.564126
76.440127,46,0.59622
74.304312,45,0.62354
72.396173,44,0.649486
74.61335,45,0.675939
74.39595,45,0.702358
76.123017,46,0.729507
74.390481,45,0.756629
74.338431,45,0.783679
72.639354,44,0.810009
72.365941,44,0.836924
72.104553,44,0.864758
72.237147,44,0.890893
73.977791,45,0.91766
72.436792,44,0.944211
73.965656,45,0.971467
72.401527,44,0.998264
74.525964,45,1.025086
74.103399,45,1.052273
72.224354,44,1.079798
74.309079,45,1.106762
74.016249,45,1.134057
72.260101,44,1.160802
72.500485,44,1.19091
72.434369,44,1.218182
74.406595,45,1.245182
74.065822,45,1.271288
74.256949,45,1.295492
76.389498,46,1.319502
72.172606,44,1.34328
