#{"t_start": 1708876726.617392, "env_id": "CustomHopper-target-v0"}
r,l,t
75.249375,47,1.03328
76.935415,48,1.073941
78.963138,49,1.120392
78.633817,49,1.162273
77.090695,48,1.206685
75.195817,47,1.249363
77.158784,48,1.290211
75.346834,47,1.329836
77.216241,48,1.371206
75.442747,47,1.410727
77.354836,48,1.452997
78.903408,49,1.493752
76.888877,48,1.533903
76.794982,48,1.57447
75.184993,47,1.616058
77.099943,48,1.656342
75.345688,47,1.695632
75.224078,47,1.735431
75.204298,47,1.775938
78.956507,49,1.823547
75.004566,47,1.86328
78.909821,49,1.904496
77.073622,48,1.944416
77.28685,48,1.984412
76.779529,48,2.027304
76.889973,48,2.06752
74.936104,47,2.107869
75.122881,47,2.148983
73.197599,46,2.187331
77.138214,48,2.226922
75.338064,47,2.266732
75.14095,47,2.305392
76.925417,48,2.344947
77.205977,48,2.385834
76.999711,48,2.43314
79.149812,49,2.47547
77.128924,48,2.515116
77.212445,48,2.554757
77.177093,48,2.595115
75.239234,47,2.634006
76.70692,48,2.676967
74.994137,47,2.716194
75.394279,47,2.756087
79.018356,49,2.801854
75.205373,47,2.860398
77.196668,48,2.907146
75.169566,47,2.949701
75.252899,47,2.989297
77.370446,48,3.04093
75.145154,47,3.080359
