#{"t_start": 1708353113.026936, "env_id": "CustomHopper-target-v0"}
r,l,t
703.71811,205,0.187318
725.506133,207,0.361836
745.943698,209,0.55724
742.080329,208,0.731432
788.189685,224,0.934462
780.019203,210,1.101328
736.459715,207,1.268644
767.620151,211,1.43655
744.455843,208,1.601012
807.372896,230,1.781163
735.200288,206,1.950512
735.45809,207,2.114807
753.985499,210,2.300351
742.943334,214,2.495137
716.356087,206,2.676402
710.279939,205,2.864458
759.859256,210,3.057869
774.407727,212,3.223837
792.38804,212,3.391482
711.860596,208,3.559648
781.015048,211,3.730794
768.533681,211,3.921573
787.449372,211,4.089222
779.830327,212,4.262242
781.960283,212,4.428266
778.152235,211,4.597296
721.652175,207,4.758793
727.202669,206,4.929898
776.741684,209,5.1122
780.401145,210,5.276185
764.216152,219,5.454705
784.146773,212,5.621498
696.677272,204,5.781266
783.895331,213,5.949875
791.874077,225,6.144271
707.980204,206,6.305165
883.085086,246,6.501406
886.151576,247,6.702618
742.070775,213,6.869528
714.69433,205,7.039265
773.146578,211,7.216997
781.540391,210,7.382369
787.195176,224,7.547844
769.354377,220,7.698322
777.569616,210,7.837021
782.5546,211,7.975579
723.980078,206,8.098598
715.956152,205,8.217809
776.065966,209,8.335533
765.634536,207,8.45706
