#{"t_start": 1708871378.5957112, "env_id": "CustomHopper-target-v0"}
r,l,t
94.994445,52,0.027862
94.974128,52,0.054631
90.895991,50,0.081628
99.639864,54,0.109277
92.903553,51,0.136067
92.712811,51,0.162233
99.691161,54,0.18985
97.573968,53,0.216899
90.44482,50,0.242238
95.266394,52,0.274159
92.974268,51,0.300212
99.581607,54,0.327793
100.007908,54,0.356083
92.815335,51,0.382288
92.335271,51,0.408356
97.799249,53,0.435695
99.588502,54,0.463694
100.112741,54,0.491333
93.148233,51,0.517308
97.470869,53,0.545393
99.979265,54,0.57339
90.93897,50,0.600236
100.422507,54,0.627678
95.876002,52,0.654229
92.775727,51,0.680318
92.860459,51,0.706304
93.033671,51,0.732211
90.343416,50,0.757663
92.599415,51,0.783786
97.589936,53,0.810746
93.017899,51,0.836901
99.844836,54,0.86994
97.638023,53,0.897738
93.333312,51,0.923942
95.252907,52,0.951113
90.812727,50,0.977901
95.225252,52,1.007601
92.757518,51,1.044574
95.405289,52,1.072205
98.030955,53,1.099435
90.316743,50,1.125849
97.549409,53,1.153368
93.498656,51,1.179126
95.203821,52,1.20539
97.424616,53,1.232244
97.618601,53,1.259072
97.640391,53,1.286341
95.42403,52,1.312715
94.972449,52,1.339174
95.285558,52,1.367157
