#{"t_start": 1708377023.9786587, "env_id": "CustomHopper-source-v0"}
r,l,t
247.901435,119,0.574176
254.238288,127,1.544204
252.494141,124,1.691681
259.702306,131,1.892575
266.411975,137,2.219992
267.580686,132,2.653599
179.654094,88,2.986129
235.769266,118,3.402712
253.980115,120,3.80199
284.620326,167,4.351237
269.46244,145,4.871221
283.735736,154,5.388444
258.648524,133,5.913189
238.379897,129,6.28281
250.200935,125,6.672988
235.554576,110,7.037052
238.641153,110,7.416452
236.18438,114,7.800124
236.866498,109,8.153555
226.233132,124,8.585898
228.185335,102,8.974437
287.09301,160,9.563886
219.763847,113,9.851024
257.892766,138,10.317151
242.842268,122,10.71766
242.653601,114,11.101332
251.279317,120,11.502545
248.177811,127,11.917227
250.583286,116,12.283835
254.035324,124,12.685885
273.759048,156,13.246821
259.786186,133,13.664681
243.000528,117,14.065063
246.044002,122,14.485627
269.230684,139,14.981673
243.380735,118,15.368154
253.860713,120,15.797629
268.8178,140,16.246199
254.384465,126,16.662246
192.430201,108,17.054784
235.618045,121,17.552711
245.509708,124,18.073897
245.533113,120,18.503165
268.197882,143,19.014819
274.074186,139,19.426523
257.653145,128,19.867925
244.539212,120,20.296769
251.599251,126,20.732225
267.915774,140,21.198673
253.47994,119,21.530405
233.405706,110,21.913692
246.14054,120,22.334301
263.013897,147,22.849396
275.136307,154,23.35243
191.229374,97,23.588027
236.355598,110,23.959166
249.108533,124,24.429872
261.735464,140,24.92574
250.991815,124,25.329347
234.669376,108,25.612354
236.543531,119,26.199765
206.497306,109,31.761757
216.731744,108,31.882749
243.74436,114,32.007514
306.053276,191,32.180863
266.242057,138,32.366259
260.632393,124,32.488559
235.810721,126,32.608063
275.345538,145,32.744989
232.869138,108,32.847847
253.909646,128,32.975558
252.798596,122,33.088554
264.52176,154,33.251125
214.147623,103,33.363007
263.5903,137,33.514203
258.777307,151,33.681874
282.505418,170,33.874441
252.382366,132,34.029923
254.875576,126,34.188421
254.077055,128,34.363666
235.88316,121,34.605749
247.897349,121,35.006556
263.405841,131,35.431655
236.980221,112,35.757626
241.819437,117,36.191105
225.12915,124,36.628894
246.675014,119,36.996318
259.873804,130,37.503988
254.297766,127,38.004534
224.612653,124,38.438378
255.070771,145,38.915406
246.397276,143,39.356842
264.930047,148,39.960716
283.435468,157,40.464603
240.94012,119,40.940743
265.966788,135,41.439619
271.975853,146,41.90858
234.959624,112,42.257612
295.470401,165,42.820878
290.640361,158,43.423195
