#{"t_start": 1708439875.3512197, "env_id": "CustomHopper-source-v0"}
r,l,t
1050.285955,306,0.163059
1052.627523,305,0.320564
993.91134,291,0.477417
1072.872394,315,0.638766
786.402302,273,0.78795
1281.730623,380,0.986895
793.353979,273,1.126348
1434.62426,465,1.375347
1434.98522,466,1.621135
1051.861904,317,1.806326
1322.0373,389,2.032272
1443.516706,431,2.284537
903.163449,265,2.433368
1074.840059,319,2.677403
1020.688034,295,2.838185
1093.507789,333,3.006074
1168.249223,345,3.201999
1325.737637,391,3.439585
1625.072351,500,3.72683
1013.40861,292,3.898606
791.173732,272,4.041186
969.322254,323,4.206035
1402.699283,416,4.439012
951.580718,313,4.602347
1194.568819,357,4.791914
1187.691071,352,4.973555
954.344172,280,5.118323
797.973136,272,5.269732
1068.864483,309,5.495905
1111.650134,367,5.694173
803.0476,274,5.841255
1299.826381,379,6.044581
1096.038329,344,6.235132
1394.742601,417,6.460084
1413.433057,428,6.676883
852.655163,256,6.808614
1123.516571,352,6.996042
1205.887109,375,7.186292
1078.836498,340,7.36107
1128.06137,349,7.554461
1124.415138,335,7.734773
1342.578085,411,7.965836
1648.622132,486,8.237189
1171.965829,345,8.415591
1326.894188,391,8.614353
1081.772528,367,8.805133
1251.762711,366,8.992244
1311.8472,384,9.186786
1042.238998,294,9.336276
1452.401107,432,9.567695
1239.440126,371,9.768053
1066.827359,308,9.957389
1007.718252,289,10.111409
1349.273715,414,10.349213
1111.85516,347,10.552483
1079.299871,369,10.750726
1147.609293,338,10.926146
1373.001647,412,11.134072
1030.638315,299,11.285912
1109.060772,367,11.473915
1324.263433,481,11.726895
1215.664789,358,11.911019
1057.951364,306,12.066689
1195.256158,350,12.244353
1517.633167,470,12.485586
1099.671766,338,12.656808
1196.594341,355,12.838506
775.108676,263,12.973127
1062.025458,321,13.135347
1106.78609,355,13.315449
1057.363508,308,13.473072
1060.554477,318,13.644748
1061.712658,340,13.823222
1358.119135,401,14.038325
781.803456,275,14.197971
1386.17804,468,14.456398
1123.053662,349,14.63722
1010.338041,293,14.791231
1311.571156,384,14.987547
1103.002201,321,15.151195
1154.398161,343,15.325237
901.394308,267,15.463832
1301.148027,382,15.658604
1087.952087,342,15.843743
801.362075,275,15.98395
1122.362403,360,16.167224
986.338038,284,16.312444
1086.978116,369,16.501856
1408.58675,416,16.713799
802.356898,271,16.852717
1072.249794,305,17.01133
1172.392832,359,17.19508
1164.693533,360,17.379377
792.157059,273,17.519651
1011.764654,289,17.667668
1379.964705,409,17.889117
1610.015545,500,18.160928
1095.913802,327,18.348944
1081.351067,365,18.541542
1071.118477,312,18.700042
