#{"t_start": 1708426022.1670117, "env_id": "CustomHopper-target-v0"}
r,l,t
235.887432,112,0.342306
275.99533,145,0.789143
263.739711,130,1.240241
270.03098,147,1.621244
257.788515,135,2.019147
237.395049,115,2.37119
245.315178,112,2.704276
237.257561,119,3.056324
233.997562,113,3.385898
266.546227,137,3.802687
256.987163,124,4.167649
250.898527,125,4.518127
250.038971,120,4.866988
260.431358,130,5.249677
264.053801,134,5.654863
246.998618,124,6.006521
266.588463,147,6.486715
253.581704,125,6.83647
240.04149,117,7.198261
251.610029,134,7.637621
247.950946,120,9.541908
257.545501,125,9.635587
256.616494,126,9.736343
245.972564,113,9.814214
214.238793,102,9.886741
262.819028,130,9.98373
235.765448,114,10.073254
208.603681,104,10.234152
234.593149,116,10.548922
245.759067,123,10.946793
251.580559,121,11.314067
259.153145,127,11.729506
238.804218,114,12.082511
247.04329,125,12.486022
220.093161,112,12.836103
195.059481,128,13.2495
237.015564,119,13.621595
188.701262,94,13.920525
242.071173,118,14.30617
238.831632,111,14.669903
269.861646,141,15.120288
248.601446,121,15.486867
235.124438,113,15.821794
253.283743,136,16.219726
238.564496,109,16.522573
250.153943,134,16.935472
251.068575,121,17.319562
251.306364,135,17.752488
265.22255,142,18.207444
248.879054,126,18.620556
242.262527,123,19.004934
284.510552,158,19.495758
243.337398,119,19.849632
260.487288,139,20.26261
265.5632,142,20.697815
238.002776,114,21.047442
252.95932,123,21.41391
277.779441,154,21.899255
268.314403,142,22.349182
220.487472,103,22.666265
236.775759,118,23.050562
264.494917,140,23.48321
251.874607,123,23.868875
262.733191,132,24.263859
244.234595,123,24.600647
245.376511,113,24.931417
243.21842,116,25.268093
235.634829,125,25.632208
271.470882,154,26.085624
232.51282,110,26.416661
254.659279,144,26.832504
253.688815,134,27.201646
245.343483,123,27.551111
271.026815,152,27.987665
259.307206,126,28.351201
267.121909,145,28.76651
251.552555,124,29.116278
240.576675,125,29.467564
259.963179,133,29.85194
244.486754,119,30.186402
231.436744,111,30.50981
238.951594,117,30.830937
280.937839,151,31.260991
260.866037,141,31.661105
238.027961,112,31.980511
254.950662,141,32.396596
274.469697,156,32.844327
251.813757,125,33.1956
252.754083,119,33.530859
287.192917,166,34.012488
238.192893,116,34.345319
248.417283,118,34.679476
249.725236,131,35.094889
270.634979,146,35.543587
179.019263,92,35.796963
295.786391,176,36.329424
234.332305,117,36.666378
243.907918,131,37.081962
247.615392,116,37.429647
247.001531,119,37.796897
