#{"t_start": 1708439917.3951917, "env_id": "CustomHopper-target-v0"}
r,l,t
1079.198791,323,0.216705
976.74931,287,0.433596
829.457162,243,0.566172
957.192283,301,0.763935
827.951855,245,0.895315
1026.925692,308,1.048909
1230.173612,366,1.234043
723.278569,218,1.344893
1296.351473,388,1.538231
811.289903,241,1.657952
684.015462,206,1.83009
857.511976,253,2.004933
832.860471,243,2.211986
1117.857664,349,2.495844
814.87678,245,2.676655
1201.298713,358,2.938603
1316.794618,387,3.178736
1220.140513,363,3.448842
927.468273,268,3.602344
737.029452,225,3.721904
922.745801,270,3.862304
1158.407534,349,4.043588
1309.596053,387,4.241787
1297.432903,385,4.43616
1106.493583,325,4.606315
1067.022013,320,4.799852
712.801132,220,4.916353
1334.437335,390,5.165855
1275.464683,372,5.450057
672.300477,223,5.620081
851.404104,249,5.778754
1230.638071,365,5.980407
1108.581388,343,6.173146
597.975158,218,6.303701
978.708035,317,6.510816
1297.495147,381,6.725482
981.798801,285,6.911098
830.195347,244,7.049527
1370.377151,403,7.27441
1299.807238,386,7.524523
1197.773495,355,7.737932
755.948186,247,7.87586
1036.371006,306,8.056952
1190.459991,353,8.270093
990.244781,282,8.41444
833.41367,247,8.545341
681.89201,206,8.678983
1234.77464,368,8.90287
997.648052,290,9.080972
1005.9877,287,9.266714
847.628144,247,9.433877
1291.350861,379,9.680974
1235.943944,363,9.925628
852.837826,248,10.081161
975.969483,318,10.264397
1160.567012,346,10.458681
973.867342,280,10.642677
1616.222205,500,10.943901
1328.844993,392,11.212683
1300.416608,380,11.435447
1204.682968,362,11.640391
838.97671,245,11.780278
1338.357191,400,12.001398
901.349986,259,12.163352
1092.935407,340,12.39572
704.70904,236,12.544326
663.99016,223,12.685795
811.662405,239,12.838724
785.806023,235,12.96671
1229.168591,359,13.188339
1415.197014,419,13.437441
1030.21314,298,13.601141
1093.40985,329,13.794142
1341.025982,399,14.036047
1117.494904,332,14.241049
899.136015,263,14.411064
658.969163,220,14.54381
1122.658392,337,14.750643
1624.88619,500,15.059768
1440.117508,425,15.313081
1322.56352,397,15.570631
1346.162687,407,15.836792
987.095197,280,15.989445
1205.797972,359,16.202972
1234.424277,363,16.397911
885.109551,260,16.546993
1043.057781,315,16.727741
1209.189676,364,16.940552
1644.015634,500,17.301191
945.506767,276,17.474359
860.681083,249,17.63083
1309.370531,386,17.852849
1237.051991,366,18.053512
1340.060874,396,18.277407
1145.41315,339,18.474711
1019.998007,306,18.629548
1116.501397,338,18.801361
881.485264,260,18.945356
1316.034032,386,19.141056
937.578672,272,19.291648
